TIME,SPEED,RPM,Intake Temp.,MAF (g/s),Engine Load,Fuel Rail Press.,AFR,Long B2 Trim,Timing Adv.,Coolant Temp.
2023-08-05 00:26:20.952312,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:21.203134,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:21.453948,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:21.704717,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:21.955522,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:22.206375,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:22.457268,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:22.708101,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:22.958940,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:23.209811,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:23.460681,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:23.711515,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:23.962327,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:24.213204,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:24.464083,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:24.714915,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:24.965736,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:25.216565,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:25.467383,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:25.718216,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:25.968979,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:26.219751,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:26.470639,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:26.721601,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:26.972443,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:27.223308,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:27.474136,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:27.724998,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:27.975819,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:28.226663,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:28.477549,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:28.728376,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:28.979303,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:29.230184,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:29.481151,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:29.732079,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:29.982997,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:30.233852,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:30.484666,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:30.735489,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:30.986372,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:31.237307,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:31.488140,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:31.738989,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:31.989818,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:32.240665,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:32.491525,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:32.742353,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:32.993358,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:33.245015,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:33.496105,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:33.746982,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:33.997890,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:34.248711,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:34.499560,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:34.750414,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:35.001354,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:35.252105,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:35.502935,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:35.753763,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:36.004602,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:36.255347,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:36.506158,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:36.756991,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:37.007825,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:37.258645,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:37.509549,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:37.760401,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:38.011282,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:38.262125,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:38.512998,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:38.763833,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:39.014668,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:39.265686,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:39.516516,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:39.767360,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:40.018186,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:40.268998,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:40.519827,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:40.770647,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:41.021551,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:41.272435,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:41.523282,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:41.774121,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:42.024973,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:42.275784,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:42.526610,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:42.777547,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:43.028414,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:43.279307,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:43.530070,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:43.781083,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:44.032043,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:44.282857,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:44.533723,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:44.784586,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:45.035404,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:45.286271,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:45.537311,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:45.788178,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:46.039070,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:46.289969,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:46.540853,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:46.791745,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:47.042613,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:47.293450,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:47.544242,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:47.795182,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:48.046055,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:48.296921,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:48.547771,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:48.798833,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:49.049687,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:49.300545,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:49.551357,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:49.802229,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:50.053113,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:50.303950,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:50.554857,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:50.805687,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:51.056523,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:51.307389,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:51.558219,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:51.809099,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:52.059918,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:52.310751,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:52.561586,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:52.812432,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:53.063269,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:53.314089,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:53.565073,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:53.815855,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:54.066802,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:54.317670,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:54.568445,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:54.819257,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:55.070100,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:55.321071,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:55.571938,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:55.824728,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:56.075652,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:56.326807,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:56.577689,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:56.828572,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:57.079452,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:57.330327,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:57.581226,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:57.832139,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:58.083019,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:58.333892,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:58.584808,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:58.835663,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:59.086742,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:59.337605,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:59.588465,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:26:59.839291,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:00.090138,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:00.340969,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:00.591854,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:00.842684,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:01.093569,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:01.344394,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:01.595280,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:01.846145,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:02.099598,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:02.350441,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:02.601335,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:02.852163,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:03.102931,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:03.353762,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:03.604641,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:03.855491,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:04.106382,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:04.359316,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:04.610146,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:04.861043,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:05.111853,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:05.362758,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:05.613586,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:05.864393,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:06.115198,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:06.366070,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:06.616904,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:06.867785,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:07.118747,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:07.369541,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:07.620378,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:07.871207,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:08.121982,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:08.372737,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:08.623560,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:08.874383,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:09.125311,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:09.378244,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:09.629114,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:09.879945,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:10.130773,0,0,0,0,0,0,0,0,0,0
